fid	ID	ELEV
1	0	150
2	1	180
3	2	180
4	3	200
5	4	210
6	5	210
7	6	210
8	7	300
9	8	310
10	9	310
11	10	320
12	11	330
13	12	340
14	13	380
15	14	410
16	15	490
17	16	530
18	17	540
19	18	620
20	19	160
21	20	180
22	21	200
23	22	220
24	23	220
25	24	220
26	25	220
27	26	240
28	27	310
29	28	330
30	29	340
31	30	340
32	31	340
33	32	340
34	33	350
35	34	360
36	35	460
37	36	230
38	37	330
39	38	330
40	39	370
41	40	410
42	41	190
43	42	230
44	43	300
45	44	320
46	45	320
47	46	330
48	47	400
49	48	410
50	49	470
51	50	680
52	51	190
53	52	300
54	53	330
55	54	350
56	55	380
57	56	390
58	57	400
59	58	400
60	59	480
61	60	20
62	61	200
63	62	200
64	63	270
65	64	380
66	65	390
67	66	30
68	67	40
69	68	210
70	69	260
71	70	310
72	71	410
73	72	170
74	73	210
75	74	240
76	75	300
77	76	310
78	77	310
79	78	340
80	79	410
81	80	430
82	81	180
83	82	190
84	83	220
85	84	220
86	85	230
87	86	240
88	87	360
89	88	200
90	89	210
91	90	220
92	91	250
93	92	260
94	93	300
95	94	360
96	95	420
97	96	550
98	97	150
99	98	230
100	99	240
101	100	250
102	101	250
103	102	260
104	103	270
105	104	280
106	105	290
107	106	290
108	107	300
109	108	330
110	109	390
111	110	410
112	111	160
113	112	170
114	113	180
115	114	180
116	115	230
117	116	270
118	117	280
119	118	290
120	119	300
121	120	300
122	121	310
123	122	320
124	123	350
125	124	370
126	125	380
127	126	380
128	127	430
129	128	190
130	129	200
131	130	210
132	131	220
133	132	260
134	133	300
135	134	310
136	135	330
137	136	340
138	137	370
139	138	400
140	139	400
141	140	230
142	141	240
143	142	240
144	143	250
145	144	370
146	145	390
147	146	400
148	147	260
149	148	270
150	149	340
151	150	770
152	151	250
153	152	270
154	153	280
155	154	290
156	155	370
157	156	390
158	157	400
159	158	760
160	159	260
161	160	300
162	161	310
163	162	310
164	163	310
165	164	360
166	165	360
167	166	370
168	167	370
169	168	320
170	169	320
171	170	330
172	171	350
173	172	350
174	173	390
175	174	410
176	175	450
177	176	790
178	177	270
179	178	280
180	179	340
181	180	340
182	181	350
183	182	380
184	183	390
185	184	280
186	185	290
187	186	320
188	187	350
189	188	380
190	189	390
191	190	400
192	191	420
193	192	470
194	193	780
195	194	10
196	195	300
197	196	330
198	197	340
199	198	370
200	199	380
201	200	460
202	201	120
203	202	130
204	203	290
205	204	320
